whiskey_name,brand,type,age,abv,region,cask_type,bottling_type,retail_price_usd,is_limited_edition,release_year,average_rating,award_wins,rating_category,category
Jameson 10 Sherry Cask,Jameson,Japanese,10,55.0,Honshu,Sherry,Single Cask,276.7,False,1997,88.0,1,Medium,Exclusive
Macallan 4 Wine Cask,Macallan,Bourbon,4,49.3,Tennessee,Wine,Single Malt,239.32,False,2001,89.1,4,Medium,Exclusive
Jack Daniel's 30 Sherry Cask,Jack Daniel's,Japanese,30,55.5,Hokkaido,Sherry,Single Cask,413.26,False,2009,96.8,1,Excellent,Luxury
Highland Park 50 Tequila Cask,Highland Park,Scotch,50,69.5,Unknown,Tequila,Single Malt,52.27,False,2011,105.5,3,Excellent,Standard
Yamazaki 11 Sherry Cask,Yamazaki,Irish,11,47.0,Dublin,Sherry,Single Cask,161.22,False,1999,93.5,3,High,Exclusive
Highland Park 12 Bourbon Cask,Highland Park,Bourbon,12,51.2,Tennessee,Bourbon,Single Malt,355.44,False,1998,90.9,2,High,Luxury
Jameson 27 Wine Cask,Jameson,Rye,27,51.7,USA,Wine,Single Cask,344.6,False,1995,93.7,0,High,Luxury
Highland Park 18 Tequila Cask,Highland Park,Bourbon,18,45.2,Kentucky,Tequila,Single Malt,337.59,True,1990,93.3,0,High,Luxury
Yamazaki 11 Port Cask,Yamazaki,Bourbon,11,56.3,Tennessee,Port,Cask Strength,252.77,False,2007,89.7,2,Medium,Exclusive
Macallan 7 Tequila Cask,Macallan,Japanese,7,52.4,Honshu,Tequila,Single Cask,380.1,False,1997,89.0,2,Medium,Luxury
Balvenie 13 Sherry Cask,Balvenie,Irish,13,56.7,Cork,Sherry,Cask Strength,487.5,False,2010,89.6,2,Medium,Luxury
Balvenie NAS Tequila Cask,Balvenie,Japanese,0,59.9,Unknown,Tequila,Single Cask,304.29,False,1993,83.6,0,Low,Luxury
Jameson 15 Rum Cask,Jameson,Scotch,15,42.0,Highlands,Rum,Blended,478.42,False,2001,93.0,3,High,Luxury
Ardbeg 26 Port Cask,Ardbeg,Japanese,26,51.6,Honshu,Port,Single Malt,226.45,False,2022,92.7,1,High,Exclusive
Macallan 22 Bourbon Cask,Macallan,Bourbon,22,48.1,Tennessee,Bourbon,Single Cask,98.18,False,1998,94.8,1,High,Premium
Ardbeg 11 Rum Cask,Ardbeg,Irish,11,46.3,Cork,Rum,Cask Strength,255.71,False,2024,89.5,0,Medium,Exclusive
Macallan 23 Sherry Cask,Macallan,Scotch,23,46.7,Speyside,Sherry,Single Cask,433.54,False,1992,91.2,1,High,Luxury
Buffalo Trace 23 Wine Cask,Buffalo Trace,Scotch,23,58.5,Highlands,Wine,Blended,182.9,False,2000,97.0,2,Excellent,Exclusive
Balvenie 6 Port Cask,Balvenie,Scotch,6,50.3,Lowlands,Port,Cask Strength,198.7,True,2002,91.4,3,High,Exclusive
Yamazaki 11 Rum Cask,Yamazaki,Scotch,11,40.1,Highlands,Rum,Single Malt,175.68,False,2012,89.5,1,Medium,Exclusive
Lagavulin 50 Tequila Cask,Lagavulin,Rye,50,48.6,Unknown,Tequila,Single Cask,48.35,False,1990,103.9,2,Excellent,Basic
Jack Daniel's 12 Rum Cask,Jack Daniel's,Bourbon,12,47.2,Tennessee,Rum,Single Cask,51.16,False,2020,89.1,0,Medium,Standard
Lagavulin 5 Port Cask,Lagavulin,Scotch,5,43.2,Islay,Port,Single Malt,46.9,False,1993,89.8,3,Medium,Basic
Highland Park 3 Bourbon Cask,Highland Park,Japanese,3,41.1,Honshu,Bourbon,Blended,498.12,False,1999,85.8,0,Medium,Luxury
Highland Park 20 Port Cask,Highland Park,Rye,20,54.2,Canada,Port,Single Malt,185.36,False,2021,95.1,1,Excellent,Exclusive
Lagavulin 6 Wine Cask,Lagavulin,Bourbon,6,44.4,Kentucky,Wine,Blended,297.59,False,2003,88.3,1,Medium,Luxury
Glenfiddich 14 Bourbon Cask,Glenfiddich,Bourbon,14,48.0,Kentucky,Bourbon,Cask Strength,261.68,False,2023,89.9,1,Medium,Exclusive
Ardbeg 14 Bourbon Cask,Ardbeg,Bourbon,14,41.9,Tennessee,Bourbon,Single Cask,192.96,False,1991,89.5,1,Medium,Exclusive
Buffalo Trace 8 Sherry Cask,Buffalo Trace,Japanese,8,49.4,Honshu,Sherry,Single Malt,376.59,False,2020,91.5,3,High,Luxury
Buffalo Trace 11 Rum Cask,Buffalo Trace,Japanese,11,55.0,Honshu,Rum,Single Cask,333.75,False,2009,89.7,3,Medium,Luxury
Macallan 23 Port Cask,Macallan,Scotch,23,40.8,Islay,Port,Single Malt,230.61,False,2023,95.8,1,Excellent,Exclusive
Highland Park 28 Bourbon Cask,Highland Park,Japanese,28,50.4,Hokkaido,Bourbon,Single Malt,37.01,False,2001,95.3,0,Excellent,Basic
Lagavulin 17 Tequila Cask,Lagavulin,Bourbon,17,55.0,Kentucky,Tequila,Blended,279.17,True,2003,90.3,1,High,Luxury
Jameson 29 Port Cask,Jameson,Scotch,29,59.1,Highlands,Port,Single Cask,138.31,False,2020,96.4,2,Excellent,Exclusive
Ardbeg 25 Tequila Cask,Ardbeg,Rye,25,50.4,Canada,Tequila,Single Malt,276.44,False,2023,95.9,0,Excellent,Exclusive
Buffalo Trace 17 Wine Cask,Buffalo Trace,Scotch,17,52.3,Speyside,Wine,Blended,363.25,False,2000,90.7,1,High,Luxury
Balvenie 29 Tequila Cask,Balvenie,Irish,29,52.1,Cork,Tequila,Single Malt,459.15,True,1994,97.5,4,Excellent,Luxury
Jack Daniel's 4 Tequila Cask,Jack Daniel's,Irish,4,51.2,Dublin,Tequila,Single Cask,254.45,False,2019,89.6,1,Medium,Exclusive
Ardbeg 9 Rum Cask,Ardbeg,Japanese,9,42.6,Hokkaido,Rum,Single Malt,87.9,False,1996,91.6,2,High,Standard
Glenfiddich 25 Sherry Cask,Glenfiddich,Japanese,25,42.6,Hokkaido,Sherry,Single Cask,77.89,True,2000,92.5,0,High,Standard
Buffalo Trace 21 Tequila Cask,Buffalo Trace,Japanese,21,53.3,Hokkaido,Tequila,Cask Strength,364.67,False,2018,93.3,3,High,Luxury
Buffalo Trace 16 Tequila Cask,Buffalo Trace,Bourbon,16,55.2,Tennessee,Tequila,Single Cask,213.27,False,2024,93.9,3,High,Exclusive
Jack Daniel's 30 Tequila Cask,Jack Daniel's,Irish,30,59.7,Dublin,Tequila,Single Malt,303.49,False,2021,99.2,4,Excellent,Luxury
Highland Park 25 Rum Cask,Highland Park,Bourbon,25,59.8,Tennessee,Rum,Single Cask,65.87,False,2004,94.7,2,High,Standard
Ardbeg 17 Sherry Cask,Ardbeg,Rye,17,53.8,USA,Sherry,Cask Strength,110.1,False,2009,89.9,0,Medium,Premium
Highland Park 5 Port Cask,Highland Park,Scotch,5,52.3,Highlands,Port,Single Cask,555.53,False,2017,89.2,1,Medium,Luxury
Lagavulin NAS Wine Cask,Lagavulin,Bourbon,0,51.3,Tennessee,Wine,Blended,462.27,False,2007,86.1,1,Medium,Luxury
Macallan 25 Port Cask,Macallan,Scotch,25,50.4,Islay,Port,Blended,369.71,False,2013,94.2,0,High,Luxury
Highland Park 6 Wine Cask,Highland Park,Irish,6,50.7,Dublin,Wine,Blended,54.35,True,1998,89.2,0,Medium,Standard
Highland Park 29 Sherry Cask,Highland Park,Rye,29,54.0,Canada,Sherry,Single Cask,82.06,False,2011,96.9,3,Excellent,Standard
Ardbeg 5 Sherry Cask,Ardbeg,Irish,5,50.9,Dublin,Sherry,Cask Strength,582.67,False,2003,88.3,0,Medium,Luxury
Glenfiddich 6 Rum Cask,Glenfiddich,Japanese,6,50.2,Honshu,Rum,Cask Strength,175.81,False,1997,88.4,2,Medium,Exclusive
Highland Park 30 Rum Cask,Highland Park,Bourbon,30,52.7,Kentucky,Rum,Blended,161.01,False,2011,97.4,1,Excellent,Exclusive
Jack Daniel's 29 Port Cask,Jack Daniel's,Japanese,29,45.9,Honshu,Port,Single Malt,478.79,False,1992,97.8,2,Excellent,Luxury
Jameson 50 Tequila Cask,Jameson,Scotch,50,57.1,Unknown,Tequila,Cask Strength,373.93,False,1995,105.0,1,Excellent,Luxury
Jameson NAS Port Cask,Jameson,Rye,0,42.0,Canada,Port,Single Cask,290.25,True,2020,84.6,1,Low,Luxury
Glenfiddich 25 Tequila Cask,Glenfiddich,Rye,25,53.4,Canada,Tequila,Single Malt,422.26,True,2006,94.1,1,High,Luxury
Ardbeg 17 Rum Cask,Ardbeg,Bourbon,17,45.0,Kentucky,Rum,Single Malt,280.58,False,2003,91.7,1,High,Luxury
Lagavulin 13 Port Cask,Lagavulin,Bourbon,13,50.0,Kentucky,Port,Single Cask,372.87,False,1999,92.7,2,High,Luxury
Buffalo Trace 3 Sherry Cask,Buffalo Trace,Bourbon,3,48.1,Kentucky,Sherry,Blended,608.58,True,2022,86.3,1,Medium,Luxury
Macallan 16 Tequila Cask,Macallan,Japanese,16,42.6,Hokkaido,Tequila,Single Malt,61.18,False,1996,91.9,0,High,Standard
Glenfiddich 20 Port Cask,Glenfiddich,Scotch,20,44.0,Islay,Port,Single Cask,256.37,False,2011,94.1,3,High,Exclusive
Jack Daniel's 27 Rum Cask,Jack Daniel's,Scotch,27,53.4,Highlands,Rum,Blended,417.91,True,2008,93.7,1,High,Luxury
Jameson 21 Wine Cask,Jameson,Rye,21,54.5,USA,Wine,Cask Strength,47.36,False,2021,92.5,1,High,Basic
Yamazaki 17 Rum Cask,Yamazaki,Japanese,17,47.6,Honshu,Rum,Single Malt,81.42,True,1990,96.3,3,Excellent,Standard
Highland Park 27 Wine Cask,Highland Park,Japanese,27,57.4,Hokkaido,Wine,Single Cask,149.99,False,2004,97.8,2,Excellent,Exclusive
Yamazaki 7 Bourbon Cask,Yamazaki,Irish,7,48.0,Dublin,Bourbon,Single Malt,197.89,False,2017,91.2,2,High,Exclusive
Yamazaki NAS Tequila Cask,Yamazaki,Japanese,0,40.1,Hokkaido,Tequila,Cask Strength,28.83,False,2023,87.3,1,Medium,Basic
Lagavulin 5 Tequila Cask,Lagavulin,Irish,5,47.2,Dublin,Tequila,Cask Strength,351.72,False,1993,90.0,3,High,Luxury
Buffalo Trace 8 Rum Cask,Buffalo Trace,Bourbon,8,46.1,Kentucky,Rum,Cask Strength,396.31,False,2015,89.9,1,Medium,Luxury
Yamazaki 25 Port Cask,Yamazaki,Bourbon,25,43.5,Kentucky,Port,Single Malt,424.44,False,2025,92.0,0,High,Luxury
Buffalo Trace 15 Tequila Cask,Buffalo Trace,Scotch,15,59.1,Islay,Tequila,Blended,148.15,False,2015,92.1,2,High,Exclusive
Jameson 18 Sherry Cask,Jameson,Rye,18,54.7,Canada,Sherry,Single Cask,402.59,False,2020,91.4,1,High,Luxury
Buffalo Trace 28 Bourbon Cask,Buffalo Trace,Rye,28,55.6,Canada,Bourbon,Single Malt,146.21,False,2016,93.5,0,High,Exclusive
Glenfiddich 11 Bourbon Cask,Glenfiddich,Bourbon,11,59.7,Tennessee,Bourbon,Blended,512.99,False,2008,92.1,1,High,Luxury
Buffalo Trace 30 Bourbon Cask,Buffalo Trace,Scotch,30,51.0,Highlands,Bourbon,Single Cask,106.21,False,1995,95.9,0,Excellent,Premium
Jameson 26 Tequila Cask,Jameson,Rye,26,47.2,USA,Tequila,Single Cask,298.4,False,2007,96.6,1,Excellent,Luxury
Glenfiddich 5 Tequila Cask,Glenfiddich,Irish,5,57.0,Cork,Tequila,Blended,210.72,False,1998,87.1,0,Medium,Exclusive
Balvenie 21 Rum Cask,Balvenie,Bourbon,21,55.1,Kentucky,Rum,Single Cask,402.2,False,2012,94.4,4,High,Luxury
Ardbeg 29 Bourbon Cask,Ardbeg,Irish,29,59.9,Cork,Bourbon,Blended,385.48,True,2016,97.1,1,Excellent,Luxury
Macallan 11 Sherry Cask,Macallan,Bourbon,11,53.5,Kentucky,Sherry,Cask Strength,263.22,False,1999,91.1,1,High,Exclusive
Jack Daniel's 30 Sherry Cask,Jack Daniel's,Scotch,30,42.3,Lowlands,Sherry,Cask Strength,327.04,False,2025,96.6,1,Excellent,Luxury
Ardbeg 27 Rum Cask,Ardbeg,Rye,27,49.7,Canada,Rum,Single Malt,238.77,True,2017,96.5,4,Excellent,Exclusive
Highland Park 17 Sherry Cask,Highland Park,Rye,17,40.8,Canada,Sherry,Single Cask,447.68,False,2000,89.9,1,Medium,Luxury
Yamazaki 3 Tequila Cask,Yamazaki,Japanese,3,52.5,Honshu,Tequila,Blended,104.46,False,1993,90.4,4,High,Premium
Balvenie 19 Sherry Cask,Balvenie,Scotch,19,57.7,Highlands,Sherry,Single Malt,105.3,False,2022,92.2,3,High,Premium
Macallan 28 Wine Cask,Macallan,Bourbon,28,42.1,Tennessee,Wine,Single Malt,58.96,False,1996,93.8,0,High,Standard
Lagavulin 28 Tequila Cask,Lagavulin,Bourbon,28,44.3,Kentucky,Tequila,Single Malt,290.01,False,2005,99.1,4,Excellent,Luxury
Jameson 3 Wine Cask,Jameson,Scotch,3,52.5,Speyside,Wine,Blended,175.34,False,2009,87.5,0,Medium,Exclusive
Glenfiddich 9 Rum Cask,Glenfiddich,Irish,9,44.0,Dublin,Rum,Cask Strength,399.57,False,2017,86.8,0,Medium,Luxury
Macallan 11 Bourbon Cask,Macallan,Rye,11,50.5,USA,Bourbon,Cask Strength,144.03,False,2010,90.5,1,High,Exclusive
Lagavulin 8 Tequila Cask,Lagavulin,Irish,8,45.6,Dublin,Tequila,Cask Strength,134.96,False,2024,87.9,0,Medium,Exclusive
Macallan 30 Wine Cask,Macallan,Japanese,30,57.4,Hokkaido,Wine,Single Malt,55.48,False,2013,95.2,0,Excellent,Standard
Yamazaki 12 Bourbon Cask,Yamazaki,Rye,12,59.2,Canada,Bourbon,Cask Strength,58.95,False,1995,90.0,0,High,Standard
Buffalo Trace 20 Wine Cask,Buffalo Trace,Bourbon,20,40.2,Tennessee,Wine,Blended,163.36,False,2025,95.5,3,Excellent,Exclusive
Balvenie NAS Port Cask,Balvenie,Bourbon,0,43.8,Kentucky,Port,Cask Strength,345.5,False,1997,88.8,2,Medium,Luxury
Lagavulin 16 Sherry Cask,Lagavulin,Japanese,16,45.7,Hokkaido,Sherry,Single Cask,107.33,False,2015,93.4,3,High,Premium
Highland Park NAS Tequila Cask,Highland Park,Bourbon,0,70.8,Unknown,Tequila,Single Malt,344.59,False,2000,84.8,0,Low,Luxury
Jameson 6 Tequila Cask,Jameson,Bourbon,6,52.7,Tennessee,Tequila,Single Cask,461.34,False,2000,86.8,1,Medium,Luxury
Highland Park 28 Tequila Cask,Highland Park,Bourbon,28,49.3,Tennessee,Tequila,Single Malt,432.19,False,2004,96.3,2,Excellent,Luxury
Buffalo Trace 9 Sherry Cask,Buffalo Trace,Bourbon,9,51.6,Tennessee,Sherry,Single Cask,41.46,False,2010,89.9,3,Medium,Basic
Lagavulin 15 Bourbon Cask,Lagavulin,Irish,15,53.8,Cork,Bourbon,Single Malt,229.22,False,2019,92.3,2,High,Exclusive
